date,latitude,longitude,rainfall_mm
2024-01-01,13.05,80.25,0.0
2024-01-02,13.05,80.25,0.0
2024-01-03,13.05,80.25,0.0
2024-01-04,13.05,80.25,0.014999999664723873
2024-01-05,13.05,80.25,0.0
2024-01-06,13.05,80.25,0.10500000417232513
2024-01-07,13.05,80.25,21.94999885559082
2024-01-08,13.05,80.25,12.470000267028809
2024-01-09,13.05,80.25,0.0
2024-01-12,13.05,80.25,0.0
2024-01-13,13.05,80.25,0.0
2024-01-14,13.05,80.25,0.0
2024-01-15,13.05,80.25,0.0
2024-01-16,13.05,80.25,0.0
2024-01-17,13.05,80.25,0.0
2024-01-18,13.05,80.25,0.0
2024-01-19,13.05,80.25,0.0
2024-01-20,13.05,80.25,0.0
2024-01-21,13.05,80.25,0.0
2024-01-22,13.05,80.25,0.0
2024-01-23,13.05,80.25,0.0
2024-01-25,13.05,80.25,0.0
2024-01-26,13.05,80.25,0.0
2024-01-27,13.05,80.25,0.0
2024-01-28,13.05,80.25,0.0
2024-01-29,13.05,80.25,0.0
2024-01-30,13.05,80.25,0.0
